id;begin_exam;duration_exam;finish_exam;question_data;subject_code;title;status;create_date;create_name;update_date;update_name
1;2022-02-01T11:14:31;70359;2022-02-01T11:20:44;Ball Dynamic maximized;Bacon Steel Analyst;Plastic Soft Oregon;false;2022-02-01T17:11:48;turn-key;2022-02-01T18:13:27;system
2;2022-02-01T17:56:52;78216;2022-02-02T05:14:59;holistic Shoes Nevada;Handmade;Producer;true;2022-02-01T19:35:45;Account yellow;2022-02-01T18:00:03;bus intranet
3;2022-02-01T10:38:19;55562;2022-02-02T04:04:29;circuit Creek Health;purple;Secured Metrics;true;2022-02-01T17:52:51;Direct bypassing Shoes;2022-02-02T05:03:54;Squares
4;2022-02-01T22:25:52;82324;2022-02-02T00:58:35;Wooden;hack Vermont Awesome;Gloves;false;2022-02-02T03:18:47;Nevada;2022-02-01T17:34:18;evolve
5;2022-02-02T01:19:51;14387;2022-02-01T17:06:25;JSON bus index;copy quantifying;Tasty Shirt Fresh;true;2022-02-01T23:55:19;Avon;2022-02-01T10:34:34;quantifying Walks Utah
6;2022-02-02T00:40:16;92890;2022-02-01T22:23:27;Creative Handcrafted withdrawal;Kansas Avenue;Valley array Account;false;2022-02-02T08:31:33;Benin Minnesota;2022-02-02T01:45:20;indexing Pine
7;2022-02-01T18:00:40;93348;2022-02-02T04:59:38;Assistant Plains synthesize;Pennsylvania;Monitored Brand Awesome;true;2022-02-01T20:12:03;index;2022-02-01T10:14:50;online
8;2022-02-01T14:45:44;99544;2022-02-02T05:38:15;blue Principal;Moldova Ball Rubber;up Bedfordshire;true;2022-02-01T14:29:31;protocol;2022-02-02T01:23:23;Bedfordshire Granite
9;2022-02-01T11:25:58;93560;2022-02-02T05:33:11;Human;primary;Buckinghamshire Malta;false;2022-02-01T10:42:24;Azerbaijan;2022-02-02T01:30:41;Mauritania withdrawal violet
10;2022-02-01T14:25:54;68811;2022-02-02T03:18:47;Buckinghamshire calculating New;Berkshire Grocery;Licensed Marketing optimize;false;2022-02-01T12:20:37;Sports SCSI;2022-02-02T08:41:17;Outdoors driver extranet
