id;code;name;teacher_code;status;avatar;create_date;create_name;update_date;update_name
1;bypassing;functionalities teal;Multi-layered facilitate;true;Cambridgeshire compress;2022-02-02T04:47:05;Cambridgeshire;2022-02-01T16:32:18;Personal indexing card
2;moderator Rustic;connect synthesizing District;interface digital;true;Islands;2022-02-01T09:47:21;Human channels seize;2022-02-01T11:44:29;Ergonomic
3;copy benchmark Enterprise-wide;SAS Granite Bacon;24/7 hub;true;Configuration Cotton drive;2022-02-01T23:43:45;models copying;2022-02-02T05:20:14;Manager
4;interfaces Buckinghamshire Savings;sticky Shirt Administrator;e-business zero Ball;false;XSS Soft aggregate;2022-02-01T12:30:50;clear-thinking bypass;2022-02-02T02:12:33;Motorway Pizza Personal
5;Ireland;index User-friendly;e-business calculating;true;Account;2022-02-01T13:42:12;Synergized open-source Money;2022-02-01T22:21:05;real-time
6;Delaware middleware Tanzania;overriding heuristic;best-of-breed;true;Netherlands the users;2022-02-01T18:48:24;User-centric Handcrafted calculating;2022-02-01T17:34:28;Oklahoma transmitting SMTP
7;District Designer;e-business;Palestinian;false;Table COM programming;2022-02-02T03:40:58;Skyway;2022-02-01T18:38:31;AI generate Pants
8;Manager;Account Refined;sexy;true;copy compress Senior;2022-02-01T10:20:17;cross-platform;2022-02-02T00:41:42;Rubber Berkshire Applications
9;Steel;Concrete bypassing reboot;real-time Philippine;true;analyzer Small;2022-02-01T19:45:42;Chicken;2022-02-02T03:10:53;Group
10;niches;Officer;Algeria optical Ergonomic;true;seize Steel;2022-02-01T21:20:45;Generic indexing Lead;2022-02-02T03:54:01;monitoring repurpose Cambridgeshire
