id;code;title;content;sender;toer;send_date
1;Sausages;e-business solid;primary;blue;Avon monitoring payment;2022-02-01T09:58:36
2;invoice;olive;Operative partnerships Bermuda;Rand;asymmetric JSON Senior;2022-02-01T20:43:57
3;Planner synergy Australia;primary parsing AI;Branding Officer parse;Investor;generating;2022-02-02T03:05:33
4;Alaska capacitor Team-oriented;Soft Union Rubber;Mews Borders;virtual;mindshare;2022-02-01T23:48:58
5;copy killer;Product Division target;Public-key;quantifying;Bedfordshire Wooden transmit;2022-02-01T18:45:52
6;SSL transmitting;monetize purple Norway;Luxembourg Practical Stream;Granite firewall;payment multi-byte Checking;2022-02-01T22:50:50
7;Wooden fault-tolerant functionalities;EXE Virginia;Specialist matrix;gold asynchronous bypassing;Account middleware;2022-02-01T22:48:41
8;Music lavender;Executive orchid;Borders Metal Branding;heuristic;virtual;2022-02-01T15:16:54
9;solution;Tala experiences;primary Soft;dot-com invoice;invoice;2022-02-01T20:47:47
10;Granite Metal software;Cambridgeshire;static leading-edge;Dollar optical;Lead;2022-02-02T04:07:30
