id;student_code;exam_id;total_point;answer_sheet;time_start;time_finish;time_remaining
1;Loan alliance bricks-and-clicks;76137;11736;markets bandwidth one-to-one;2022-02-01T14:45:57;2022-02-01T19:30:31;78819
2;District Officer Lempira;1966;17926;port;2022-02-01T12:53:51;2022-02-02T06:43:53;24325
3;lavender;55746;91886;Shoes ubiquitous payment;2022-02-01T14:45:36;2022-02-01T20:58:52;22694
4;Chicken Concrete Small;7518;44148;leading-edge;2022-02-01T19:34:40;2022-02-01T12:48:30;53979
5;Senior;17210;3651;Toys connecting;2022-02-02T06:24:35;2022-02-01T18:43:34;73060
6;navigate Avon programming;26400;95812;matrix;2022-02-01T11:27:11;2022-02-02T01:24:57;88117
7;Cambridgeshire Rubber;61855;24482;budgetary;2022-02-01T16:16:32;2022-02-01T13:31:04;71598
8;online;35815;14054;Nepal Music;2022-02-01T22:22:59;2022-02-02T07:11:19;10959
9;plug-and-play;73944;29913;open-source Executive;2022-02-01T10:27:23;2022-02-01T23:19:07;23401
10;Cambridgeshire envisioneer bypassing;11360;34490;methodical Lebanese;2022-02-01T13:45:32;2022-02-01T12:25:07;47736
