id;code;name;class_code;status;create_date;create_name;update_date;update_name
1;Nigeria Sleek;Greens Public-key;encompassing Gloves;true;2022-02-01T19:55:37;capacitor;2022-02-01T17:49:35;Secured Awesome Berkshire
2;Loan Granite;Human orchid capacitor;Indiana Plastic application;true;2022-02-01T10:50:13;Automotive azure;2022-02-01T22:54:22;payment Connecticut
3;Customer frame Oklahoma;forecast;wireless evolve;false;2022-02-01T14:01:16;Fall Fall navigating;2022-02-01T17:32:08;Baby Creative Toys
4;redefine;robust;Lake mission-critical navigating;true;2022-02-01T10:33:03;Inverse Communications;2022-02-02T00:24:39;Investment
5;Concrete proactive parse;Balanced Plains eyeballs;disintermediate;true;2022-02-02T03:53:20;Internal redundant;2022-02-01T11:40:45;Rupee
6;Facilitator quantifying;Ariary repurpose didactic;hacking panel;true;2022-02-01T11:16:43;EXE;2022-02-01T22:45:53;sensor
7;Ergonomic web-enabled SSL;Soft seize;Rustic;true;2022-02-01T13:51:25;HTTP calculate;2022-02-01T22:31:34;indexing
8;Hawaii;Benin Grocery Kansas;Checking Burundi;true;2022-02-01T15:04:06;web virtual;2022-02-01T19:59:16;reinvent programming implement
9;Keyboard state;Account neural;parsing navigate;false;2022-02-01T18:07:47;multi-byte;2022-02-01T21:13:39;Product access
10;magenta;interfaces Chad bi-directional;withdrawal instruction Toys;false;2022-02-01T23:30:33;services incremental;2022-02-01T13:46:34;Producer firewall calculating
