id;question_type;question_text;subject_code;level;point;status;create_date;create_name;update_date;update_name
1;Brand;Kiribati Cambridgeshire incremental;withdrawal Glen Plastic;60078;13848;false;2022-02-01T16:25:36;e-services Ergonomic;2022-02-01T12:39:58;Dollar monetize Future
2;Yuan sensor;well-modulated;online Response;33938;66553;false;2022-02-02T04:19:41;Industrial withdrawal;2022-02-01T14:34:22;infrastructure open-source
3;Communications Sweden index;Garden wireless;Franc Computers;20451;876;true;2022-02-01T18:05:05;Dollar Unbranded;2022-02-01T20:24:01;calculate Practical Alabama
4;firewall withdrawal connect;Serbian;Mouse;41930;46705;true;2022-02-01T15:41:47;Soap;2022-02-02T04:46:33;Down-sized navigating Gloves
5;reintermediate;Bike system Riyal;loyalty;13515;92767;false;2022-02-01T10:27:28;transmitting Bedfordshire;2022-02-02T03:10:07;Extensions Clothing Strategist
6;Road Granite open-source;motivating Multi-layered;Outdoors;41879;82725;false;2022-02-01T14:38:47;Soft Practical;2022-02-02T01:21:44;Mississippi
7;withdrawal;Savings Incredible;violet Wooden;20404;86757;false;2022-02-01T09:53:14;optical transmit;2022-02-02T05:56:08;Steel
8;Legacy dot-com New;5th;Group Account mission-critical;46273;11377;true;2022-02-01T15:25:52;payment;2022-02-01T15:40:34;back firewall experiences
9;Malawi;Rustic Refined;whiteboard Account communities;8847;2127;true;2022-02-02T03:41:26;Account;2022-02-01T11:06:10;Small Advanced frame
10;withdrawal Maine;Dollar monitor monitoring;Account Associate;45298;80868;false;2022-02-01T22:37:34;Configurable;2022-02-01T18:40:57;Buckinghamshire red Automated
